b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.445	0.032	0.773	0.772	0.458	0.207	0.241	0.027
0.435	0.043	0.72	0.901	0.619	0.103	0.202	0.016
0.435	0.043	0.72	0.901	0.619	0.103	0.202	0.016
0.435	0.043	0.72	0.901	0.619	0.103	0.202	0.016
